time,lat,long,LAeq
1531997457.0,41.148054566,-8.611185213,72.4
1531997759.0,41.148054566,-8.611185213,72.1
1531998061.0,41.148054566,-8.611185213,72.1
1531998303.0,41.148054566,-8.611185213,73.7
1531998606.0,41.148054566,-8.611185213,72.8
1531998908.0,41.148054566,-8.611185213,71.7
1531999210.0,41.148054566,-8.611185213,81.1
1531999512.0,41.148054566,-8.611185213,74.9
1531999814.0,41.148054566,-8.611185213,70.5
1532000116.0,41.148054566,-8.611185213,71.1
1532000417.0,41.148054566,-8.611185213,71.9
1532000720.0,41.148054566,-8.611185213,72.1
1532001022.0,41.148054566,-8.611185213,72.1
1532001324.0,41.148054566,-8.611185213,71.7
1532001626.0,41.148054566,-8.611185213,85.0
1532001928.0,41.148054566,-8.611185213,74.0
1532002230.0,41.148054566,-8.611185213,71.7
1532002532.0,41.148054566,-8.611185213,73.5
1532002834.0,41.148054566,-8.611185213,73.1
1532003136.0,41.148054566,-8.611185213,72.6
1532003438.0,41.148054566,-8.611185213,73.9
1532003740.0,41.148054566,-8.611185213,72.0
1532004042.0,41.148054566,-8.611185213,74.3
1532004344.0,41.148054566,-8.611185213,72.1
1532004646.0,41.148054566,-8.611185213,72.0
1532004949.0,41.148054566,-8.611185213,72.5
1532005251.0,41.148054566,-8.611185213,73.3
1532005553.0,41.148054566,-8.611185213,72.5
1532005862.0,41.148054566,-8.611185213,77.8
1532006104.0,41.148054566,-8.611185213,74.3
1532006406.0,41.148054566,-8.611185213,76.0
1532006708.0,41.148054566,-8.611185213,72.3
1532007017.0,41.148054566,-8.611185213,73.3
1532007320.0,41.148054566,-8.611185213,73.2
1532007326.0,41.148054566,-8.611185213,73.2
1532007628.0,41.148054566,-8.611185213,76.4
1532007930.0,41.148054566,-8.611185213,71.8
1532008232.0,41.148054566,-8.611185213,74.0
1532008534.0,41.148054566,-8.611185213,71.8
1532008836.0,41.148054566,-8.611185213,72.1
1532009138.0,41.148054566,-8.611185213,72.1
1532009440.0,41.148054566,-8.611185213,84.4
1532009742.0,41.148054566,-8.611185213,71.8
1532010045.0,41.148054566,-8.611185213,73.9
1532010346.0,41.148054566,-8.611185213,73.3
1532010649.0,41.148054566,-8.611185213,73.3
1532010958.0,41.148054566,-8.611185213,73.0
1532011260.0,41.148054566,-8.611185213,74.6
1532011562.0,41.148054566,-8.611185213,72.7
1532011804.0,41.148054566,-8.611185213,73.9
1532012106.0,41.148054566,-8.611185213,72.4
1532012415.0,41.148054566,-8.611185213,73.5
1532012717.0,41.148054566,-8.611185213,73.7
1532013019.0,41.148054566,-8.611185213,75.8
1532013321.0,41.148054566,-8.611185213,71.7
1532013623.0,41.148054566,-8.611185213,74.1
1532013925.0,41.148054566,-8.611185213,73.0
1532014227.0,41.148054566,-8.611185213,87.5
1532014529.0,41.148054566,-8.611185213,72.5
1532014831.0,41.148054566,-8.611185213,74.5
1532015133.0,41.148054566,-8.611185213,72.6
1532015442.0,41.148054566,-8.611185213,77.2
1532015745.0,41.148054566,-8.611185213,72.9
1532016047.0,41.148054566,-8.611185213,71.4
1532016349.0,41.148054566,-8.611185213,73.0
1532016650.0,41.148054566,-8.611185213,77.5
1532016953.0,41.148054566,-8.611185213,72.6
