type,lat,long,value,category
Bairros,41.14218600000002,-8.627680000000018,0,Bairros
Bairros,41.14218600000002,-8.625180000000018,0,Bairros
Bairros,41.14218600000002,-8.622680000000019,0,Bairros
Bairros,41.14218600000002,-8.620180000000019,0,Bairros
Bairros,41.14218600000002,-8.61768000000002,0,Bairros
Bairros,41.14218600000002,-8.61518000000002,0,Bairros
Bairros,41.14218600000002,-8.61268000000002,0,Bairros
Bairros,41.14218600000002,-8.610180000000021,0,Bairros
Bairros,41.14218600000002,-8.607680000000022,0,Bairros
Bairros,41.14218600000002,-8.605180000000022,0,Bairros
Bairros,41.14218600000002,-8.602680000000023,0,Bairros
Bairros,41.14218600000002,-8.600180000000023,0,Bairros
Bairros,41.14218600000002,-8.597680000000024,0,Bairros
Bairros,41.14218600000002,-8.595180000000024,0,Bairros
Bairros,41.14218600000002,-8.592680000000025,0,Bairros
Bairros,41.14218600000002,-8.590180000000025,0,Bairros
Bairros,41.14218600000002,-8.587680000000026,0,Bairros
Bairros,41.14218600000002,-8.585180000000026,0,Bairros
Bairros,41.14218600000002,-8.582680000000027,0,Bairros
Bairros,41.14218600000002,-8.580180000000027,0,Bairros
Bairros,41.14218600000002,-8.577680000000028,0,Bairros
Bairros,41.14218600000002,-8.575180000000028,0,Bairros
Bairros,41.14218600000002,-8.572680000000028,0,Bairros
Bairros,41.14218600000002,-8.570180000000029,0,Bairros
Bairros,41.14218600000002,-8.56768000000003,0,Bairros
Bairros,41.14218600000002,-8.56518000000003,0,Bairros
Bairros,41.14218600000002,-8.56268000000003,0,Bairros
Bairros,41.14218600000002,-8.560180000000031,0,Bairros
Bairros,41.14398600000002,-8.71268,0,Bairros
Bairros,41.14398600000002,-8.710180000000001,0,Bairros
Bairros,41.14398600000002,-8.707680000000002,0,Bairros
Bairros,41.14398600000002,-8.705180000000002,0,Bairros
Bairros,41.14398600000002,-8.702680000000003,0,Bairros
Bairros,41.14398600000002,-8.700180000000003,0,Bairros
Bairros,41.14398600000002,-8.697680000000004,0,Bairros
Bairros,41.14398600000002,-8.695180000000004,0,Bairros
Bairros,41.14398600000002,-8.692680000000005,0,Bairros
Bairros,41.14398600000002,-8.690180000000005,0,Bairros
Bairros,41.14398600000002,-8.687680000000006,0,Bairros
Bairros,41.14398600000002,-8.685180000000006,0,Bairros
Bairros,41.14398600000002,-8.682680000000007,0,Bairros
Bairros,41.14398600000002,-8.680180000000007,0,Bairros
Bairros,41.14398600000002,-8.677680000000008,0,Bairros
Bairros,41.14398600000002,-8.675180000000008,0,Bairros
Bairros,41.14398600000002,-8.672680000000009,0,Bairros
Bairros,41.14398600000002,-8.670180000000009,0,Bairros
