time,lat,long,NO2
1530422565.0,41.148384191,-8.598367008,23.9
1530422837.0,41.148384191,-8.598367008,29.7
1530423109.0,41.148384191,-8.598367008,29.7
1530423441.0,41.148384191,-8.598367008,29.7
1530423713.0,41.148384191,-8.598367008,42.6
1530424045.0,41.148384191,-8.598367008,42.6
1530424317.0,41.148384191,-8.598367008,42.6
1530424649.0,41.148384191,-8.598367008,34.9
1530424921.0,41.148384191,-8.598367008,34.9
1530425253.0,41.148384191,-8.598367008,34.9
1530425524.0,41.148384191,-8.598367008,37.0
1530425857.0,41.148384191,-8.598367008,37.0
1530426129.0,41.148384191,-8.598367008,37.0
1530426460.0,41.148384191,-8.598367008,30.3
1530426733.0,41.148384191,-8.598367008,30.3
1530427065.0,41.148384191,-8.598367008,30.3
1530427337.0,41.148384191,-8.598367008,44.7
1530427609.0,41.148384191,-8.598367008,44.7
1530427941.0,41.148384191,-8.598367008,44.7
1530428213.0,41.148384191,-8.598367008,38.1
1530428545.0,41.148384191,-8.598367008,38.1
1530428817.0,41.148384191,-8.598367008,38.1
1530429149.0,41.148384191,-8.598367008,44.3
1530429421.0,41.148384191,-8.598367008,44.3
1530429753.0,41.148384191,-8.598367008,44.3
1530430025.0,41.148384191,-8.598367008,44.0
1530430357.0,41.148384191,-8.598367008,44.0
1530430628.0,41.148384191,-8.598367008,44.0
1530430961.0,41.148384191,-8.598367008,53.0
1530431233.0,41.148384191,-8.598367008,53.0
1530431565.0,41.148384191,-8.598367008,53.0
1530431837.0,41.148384191,-8.598367008,50.9
1530432109.0,41.148384191,-8.598367008,50.9
1530432441.0,41.148384191,-8.598367008,50.9
1530432713.0,41.148384191,-8.598367008,62.3
1530433044.0,41.148384191,-8.598367008,62.3
1530433317.0,41.148384191,-8.598367008,62.3
1530433649.0,41.148384191,-8.598367008,48.3
1530433921.0,41.148384191,-8.598367008,48.3
1530434253.0,41.148384191,-8.598367008,48.3
1530434525.0,41.148384191,-8.598367008,57.6
1530434856.0,41.148384191,-8.598367008,57.6
1530435128.0,41.148384191,-8.598367008,57.6
1530435460.0,41.148384191,-8.598367008,53.5
1530435732.0,41.148384191,-8.598367008,53.5
1530436064.0,41.148384191,-8.598367008,53.5
1530436340.0,41.148384191,-8.598367008,57.4
1530436608.0,41.148384191,-8.598367008,57.4
1530436941.0,41.148384191,-8.598367008,57.4
1530437213.0,41.148384191,-8.598367008,47.0
1530437545.0,41.148384191,-8.598367008,47.0
1530437817.0,41.148384191,-8.598367008,47.0
1530438149.0,41.148384191,-8.598367008,57.8
1530438421.0,41.148384191,-8.598367008,57.8
1530438752.0,41.148384191,-8.598367008,57.8
1530439025.0,41.148384191,-8.598367008,55.1
1530439356.0,41.148384191,-8.598367008,55.1
1530439629.0,41.148384191,-8.598367008,55.1
1530439960.0,41.148384191,-8.598367008,53.7
1530440232.0,41.148384191,-8.598367008,53.7
1530440564.0,41.148384191,-8.598367008,53.7
1530440836.0,41.148384191,-8.598367008,62.2
1530441108.0,41.148384191,-8.598367008,62.2
1530441440.0,41.148384191,-8.598367008,62.2
1530441712.0,41.148384191,-8.598367008,59.2
1530442044.0,41.148384191,-8.598367008,59.2
1530442316.0,41.148384191,-8.598367008,59.2
1530442648.0,41.148384191,-8.598367008,66.4
1530442920.0,41.148384191,-8.598367008,66.4
1530443252.0,41.148384191,-8.598367008,66.4
1530443524.0,41.148384191,-8.598367008,64.3
1530443856.0,41.148384191,-8.598367008,64.3
1530444128.0,41.148384191,-8.598367008,64.3
1530444460.0,41.148384191,-8.598367008,53.5
1530444732.0,41.148384191,-8.598367008,53.5
1530445064.0,41.148384191,-8.598367008,53.5
1544011120.0,41.180222,-8.605194,
1544011189.0,41.180222,-8.605194,
1544011319.0,41.180222,-8.605194,
1544011861.0,41.180222,-8.605194,60.1
1544011901.0,41.180222,-8.605194,60.1
1544011970.0,41.180222,-8.605194,51.8
1544012031.0,41.180222,-8.605194,51.8
1544012103.0,41.180222,-8.605194,51.8
1544012138.0,41.180222,-8.605194,51.8
1544012210.0,41.180222,-8.605194,51.8
1544012282.0,41.180222,-8.605194,57.0
1544012346.0,41.180222,-8.605194,57.0
1544012383.0,41.180222,-8.605194,58.6
1544012452.0,41.180222,-8.605194,58.6
1544012510.0,41.180222,-8.605194,58.6
1544012579.0,41.180222,-8.605194,58.7
1544012623.0,41.180222,-8.605194,58.7
1544012695.0,41.180222,-8.605194,62.3
1544012765.0,41.180222,-8.605194,62.3
1544012797.0,41.180222,-8.605194,63.0
1544012866.0,41.180222,-8.605194,63.0
1544012928.0,41.180222,-8.605194,63.0
1544012992.0,41.180222,-8.605194,57.5
1544013064.0,41.180222,-8.605194,57.5
1544013099.0,41.180222,-8.605194,48.8
1544013168.0,41.180222,-8.605194,48.8
1544013235.0,41.180222,-8.605194,48.8
1544013296.0,41.180222,-8.605194,48.3
1544013361.0,41.180222,-8.605194,48.3
1544013426.0,41.180222,-8.605194,48.3
1544013483.0,41.180222,-8.605194,42.7
1544013517.0,41.180222,-8.605194,42.7
1544013589.0,41.180222,-8.605194,36.4
1544013626.0,41.180222,-8.605194,36.4
1544013758.0,41.180222,-8.605194,36.4
1544013835.0,41.180222,-8.605194,36.4
1544013906.0,41.180222,-8.605194,31.1
1544013959.0,41.180222,-8.605194,31.1
1544014028.0,41.180222,-8.605194,139.7
1544014067.0,41.180222,-8.605194,139.7
1544014134.0,41.180222,-8.605194,29.3
1544014173.0,41.180222,-8.605194,29.3
1544014213.0,41.180222,-8.605194,29.3
1544014309.0,41.180222,-8.605194,29.3
1544014353.0,41.180222,-8.605194,29.3
1544014420.0,41.180222,-8.605194,29.3
1544014477.0,41.180222,-8.605194,27.8
1544014519.0,41.180222,-8.605194,27.8
1544014612.0,41.180222,-8.605194,29.3
1544014686.0,41.180222,-8.605194,29.3
1544014720.0,41.180222,-8.605194,29.6
1544014785.0,41.180222,-8.605194,29.6
