time,lat,long,intensity
1550241900.0,41.149556735,-8.605197648,32.0
1550241900.0,41.149556735,-8.605197648,32.0
1550241900.0,41.165942037,-8.645901932,37.0
1550241600.0,41.149983948,-8.611419801,124.0
1550241600.0,41.151349842,-8.62616789,215.0
1550241600.0,41.147545475,-8.600893098,17.0
1550241600.0,41.145856146,-8.60080119,20.0
1550241600.0,41.164189791,-8.611251794,46.0
1550241900.0,41.162237036,-8.609409795,34.0
1550241900.0,41.147670681,-8.622320334,62.0
1550241900.0,41.147670681,-8.622320334,62.0
1550241900.0,41.162582771,-8.611476868,43.0
1550241900.0,41.162582771,-8.611476868,43.0
1550241900.0,41.164073206,-8.634834094,187.0
1550241900.0,41.154544084,-8.604944712,17.0
1550241900.0,41.162814506,-8.606720392,48.0
1550241900.0,41.167116071,-8.653050358,56.0
1550241900.0,41.15579448,-8.6149763,81.0
1550241600.0,41.166539033,-8.649082636,50.0
1550241600.0,41.162371957,-8.607796762,62.0
1550241600.0,41.153798065,-8.609145504,49.0
1550241600.0,41.165626846,-8.589150442,114.0
1550241600.0,41.159709663,-8.625744187,27.0
1550241600.0,41.151483646,-8.610390091,72.0
1550241600.0,41.167049092,-8.683872659,46.0
1550242500.0,41.164073206,-8.634834094,203.0
1550242500.0,41.167477169,-8.686556372,94.0
1550242500.0,41.160612259,-8.593339644,58.0
1550242500.0,41.164764795,-8.638299637,79.0
1550242500.0,41.16258976,-8.585198117,17.0
1550242500.0,41.147369859,-8.607427044,13.0
1550242500.0,41.156175101,-8.609280599,40.0
1550242500.0,41.141897761,-8.601642971,15.0
1550242500.0,41.167116071,-8.653050358,43.0
1550242200.0,41.149155706,-8.603301018,29.0
1550242200.0,41.149155706,-8.603301018,29.0
1550242200.0,41.146708106,-8.609970872,126.0
1550242200.0,41.166657644,-8.652724317,65.0
1550242200.0,41.152679415,-8.632183454,56.0
1550242200.0,41.157671157,-8.626198587,26.0
1550242200.0,41.147670681,-8.622320334,52.0
1550242200.0,41.147037283,-8.609766423,126.0
1550242200.0,41.153601822,-8.626405773,59.0
1550242200.0,41.156175101,-8.609280599,40.0
1550242200.0,41.156175101,-8.609280599,40.0
1550242200.0,41.141897761,-8.601642971,12.0
1550242200.0,41.166539033,-8.649082636,44.0
1550242200.0,41.153798065,-8.609145504,56.0
1550242200.0,41.163542956,-8.610940056,28.0
1550242200.0,41.163542956,-8.610940056,28.0
1550242200.0,41.153682849,-8.60468135,27.0
1550242200.0,41.14436322,-8.602712892,55.0
1550242200.0,41.154548009,-8.614967993,34.0
1550242200.0,41.154548009,-8.614967993,34.0
1550242200.0,41.153867715,-8.626385449,59.0
1550242200.0,41.147545475,-8.600893098,23.0
1550242200.0,41.145856146,-8.60080119,31.0
1550242200.0,41.164617606,-8.638706507,62.0
1550242200.0,41.162814506,-8.606720392,44.0
1550242200.0,41.148780364,-8.604192282,27.0
1550242200.0,41.145612073,-8.614788038,50.0
1550242200.0,41.16494587,-8.589229784,27.0
1550242200.0,41.167477169,-8.686556372,90.0
1550242200.0,41.160612259,-8.593339644,37.0
1550242200.0,41.16258976,-8.585198117,23.0
1550242200.0,41.148778656,-8.601570926,8.0
1550242200.0,41.151483646,-8.610390091,64.0
1550242200.0,41.14798832,-8.608330842,15.0
1550242200.0,41.14798832,-8.608330842,15.0
1550242200.0,41.14196707,-8.601236767,52.0
1550242500.0,41.167658788,-8.685827741,42.0
1550242500.0,41.14487346,-8.610923185,59.0
1550242500.0,41.14487346,-8.610923185,59.0
1550242500.0,41.162582771,-8.611476868,44.0
