time,lat,long,windDirection
1550240208.0,41.183768768,-8.603107205,7.0
1550240234.0,41.183768768,-8.603107205,7.0
1550240492.0,41.183768768,-8.603107205,45.0
1550240819.0,41.183768768,-8.603107205,47.0
1550241181.0,41.183768768,-8.603107205,36.0
1550241376.0,41.183768768,-8.603107205,20.0
1550241680.0,41.183768768,-8.603107205,123.0
1550241969.0,41.183768768,-8.603107205,8.0
1550242307.0,41.183768768,-8.603107205,98.0
1550242657.0,41.183768768,-8.603107205,13.0
1550242852.0,41.183768768,-8.603107205,34.0
1550242971.0,41.183768768,-8.603107205,34.0
1550243155.0,41.183768768,-8.603107205,51.0
1550243529.0,41.183768768,-8.603107205,18.0
1550243772.0,41.183768768,-8.603107205,16.0
1550244096.0,41.183768768,-8.603107205,26.0
1550244508.0,41.183768768,-8.603107205,8.0
1550244654.0,41.183768768,-8.603107205,-116.0
1550244994.0,41.183768768,-8.603107205,-127.0
1550245238.0,41.183768768,-8.603107205,58.0
1550245563.0,41.183768768,-8.603107205,45.0
1550245965.0,41.183768768,-8.603107205,-93.0
1550246148.0,41.183768768,-8.603107205,-118.0
1550246480.0,41.183768768,-8.603107205,22.0
1550246850.0,41.183768768,-8.603107205,37.0
1550247040.0,41.183768768,-8.603107205,48.0
1550247406.0,41.183768768,-8.603107205,-140.0
1550247442.0,41.183768768,-8.603107205,-140.0
1550247647.0,41.183768768,-8.603107205,-114.0
1550247963.0,41.183768768,-8.603107205,-112.0
1550248320.0,41.183768768,-8.603107205,101.0
1550248568.0,41.183768768,-8.603107205,-25.0
1550248909.0,41.183768768,-8.603107205,-73.0
1550249284.0,41.183768768,-8.603107205,41.0
1550249462.0,41.183768768,-8.603107205,98.0
1550249806.0,41.183768768,-8.603107205,42.0
1550250184.0,41.183768768,-8.603107205,61.0
1550250384.0,41.183768768,-8.603107205,75.0
1550250758.0,41.183768768,-8.603107205,76.0
1550250954.0,41.183768768,-8.603107205,116.0
1550251285.0,41.183768768,-8.603107205,53.0
1550251666.0,41.183768768,-8.603107205,31.0
1550251870.0,41.183768768,-8.603107205,25.0
1550252235.0,41.183768768,-8.603107205,25.0
1550252448.0,41.183768768,-8.603107205,26.0
1550252785.0,41.183768768,-8.603107205,37.0
1550253150.0,41.183768768,-8.603107205,59.0
1550253322.0,41.183768768,-8.603107205,58.0
1550253703.0,41.183768768,-8.603107205,110.0
1550254071.0,41.183768768,-8.603107205,114.0
1550254250.0,41.183768768,-8.603107205,114.0
1550254607.0,41.183768768,-8.603107205,114.0
1550254989.0,41.183768768,-8.603107205,114.0
1550255177.0,41.183768768,-8.603107205,114.0
1550255555.0,41.183768768,-8.603107205,114.0
1550255744.0,41.183768768,-8.603107205,59.0
1550256089.0,41.183768768,-8.603107205,59.0
1550256461.0,41.183768768,-8.603107205,70.0
1550256660.0,41.183768768,-8.603107205,70.0
1550257038.0,41.183768768,-8.603107205,70.0
1550257271.0,41.183768768,-8.603107205,70.0
1550257579.0,41.183768768,-8.603107205,64.0
1550257946.0,41.183768768,-8.603107205,64.0
1550258118.0,41.183768768,-8.603107205,64.0
1550258512.0,41.183768768,-8.603107205,84.0
1550258875.0,41.183768768,-8.603107205,30.0
1550259042.0,41.183768768,-8.603107205,4.0
1550259416.0,41.183768768,-8.603107205,15.0
1550259788.0,41.183768768,-8.603107205,26.0
1550259981.0,41.183768768,-8.603107205,28.0
1550260359.0,41.183768768,-8.603107205,75.0
1550260579.0,41.183768768,-8.603107205,75.0
1550260893.0,41.183768768,-8.603107205,44.0
1550261254.0,41.183768768,-8.603107205,-64.0
1550261473.0,41.183768768,-8.603107205,-64.0
1550261836.0,41.183768768,-8.603107205,-64.0
1550262203.0,41.183768768,-8.603107205,-64.0
1550262360.0,41.183768768,-8.603107205,170.0
1550262729.0,41.183768768,-8.603107205,23.0
1550263112.0,41.183768768,-8.603107205,12.0
1550263306.0,41.183768768,-8.603107205,12.0
1550263676.0,41.183768768,-8.603107205,12.0
1550263843.0,41.183768768,-8.603107205,34.0
1550264223.0,41.183768768,-8.603107205,34.0
1550264586.0,41.183768768,-8.603107205,34.0
1550264775.0,41.183768768,-8.603107205,34.0
1550265154.0,41.183768768,-8.603107205,34.0
1550265519.0,41.183768768,-8.603107205,34.0
1550265686.0,41.183768768,-8.603107205,34.0
1550266073.0,41.183768768,-8.603107205,34.0
1550266271.0,41.183768768,-8.603107205,34.0
1550266625.0,41.183768768,-8.603107205,34.0
1550266992.0,41.183768768,-8.603107205,-20.0
1550267176.0,41.183768768,-8.603107205,-162.0
1550267545.0,41.183768768,-8.603107205,-166.0
1550267740.0,41.183768768,-8.603107205,-88.0
1550268111.0,41.183768768,-8.603107205,-166.0
1550268481.0,41.183768768,-8.603107205,-102.0
1550268650.0,41.183768768,-8.603107205,-102.0
1550269011.0,41.183768768,-8.603107205,-95.0
1550269386.0,41.183768768,-8.603107205,-88.0
1550269576.0,41.183768768,-8.603107205,-86.0
1550269952.0,41.183768768,-8.603107205,-86.0
1550270324.0,41.183768768,-8.603107205,-86.0
1550270489.0,41.183768768,-8.603107205,-85.0
1550270869.0,41.183768768,-8.603107205,-82.0
1550271070.0,41.183768768,-8.603107205,-82.0
1550271440.0,41.183768768,-8.603107205,-82.0
1550271806.0,41.183768768,-8.603107205,-82.0
1550271999.0,41.183768768,-8.603107205,-167.0
1550272367.0,41.183768768,-8.603107205,-178.0
1550272731.0,41.183768768,-8.603107205,-168.0
1550272929.0,41.183768768,-8.603107205,-104.0
1550273306.0,41.183768768,-8.603107205,-98.0
1550273477.0,41.183768768,-8.603107205,-94.0
1550273842.0,41.183768768,-8.603107205,-94.0
1550274218.0,41.183768768,-8.603107205,-25.0
1550274391.0,41.183768768,-8.603107205,174.0
1550274781.0,41.183768768,-8.603107205,170.0
1550274960.0,41.183768768,-8.603107205,157.0
1550275334.0,41.183768768,-8.603107205,157.0
1550275704.0,41.183768768,-8.603107205,157.0
1550275878.0,41.183768768,-8.603107205,165.0
1550276259.0,41.183768768,-8.603107205,-92.0
1550276626.0,41.183768768,-8.603107205,-110.0
1550276813.0,41.183768768,-8.603107205,-115.0
1550277182.0,41.183768768,-8.603107205,-117.0
1550277358.0,41.183768768,-8.603107205,-118.0
1550277720.0,41.183768768,-8.603107205,-114.0
1550278104.0,41.183768768,-8.603107205,-144.0
1550278280.0,41.183768768,-8.603107205,-176.0
1550278650.0,41.183768768,-8.603107205,17.0
1550279012.0,41.183768768,-8.603107205,17.0
1550279183.0,41.183768768,-8.603107205,59.0
1550279589.0,41.183768768,-8.603107205,12.0
1550279739.0,41.183768768,-8.603107205,79.0
1550280128.0,41.183768768,-8.603107205,79.0
1550280484.0,41.183768768,-8.603107205,105.0
1550280669.0,41.183768768,-8.603107205,108.0
1550281059.0,41.183768768,-8.603107205,108.0
1550281411.0,41.183768768,-8.603107205,108.0
1550281611.0,41.183768768,-8.603107205,131.0
1550281975.0,41.183768768,-8.603107205,141.0
1550282165.0,41.183768768,-8.603107205,144.0
1550282517.0,41.183768768,-8.603107205,145.0
1550282721.0,41.183768768,-8.603107205,145.0
1550283071.0,41.183768768,-8.603107205,143.0
1550283444.0,41.183768768,-8.603107205,140.0
1550283652.0,41.183768768,-8.603107205,137.0
1550283991.0,41.183768768,-8.603107205,141.0
1550284379.0,41.183768768,-8.603107205,143.0
1550284573.0,41.183768768,-8.603107205,140.0
1550284930.0,41.183768768,-8.603107205,138.0
1550285299.0,41.183768768,-8.603107205,139.0
1550285471.0,41.183768768,-8.603107205,126.0
1550285836.0,41.183768768,-8.603107205,113.0
1550286055.0,41.183768768,-8.603107205,113.0
1550286391.0,41.183768768,-8.603107205,113.0
1550286772.0,41.183768768,-8.603107205,113.0
1550286982.0,41.183768768,-8.603107205,113.0
1550287299.0,41.183768768,-8.603107205,135.0
1550287677.0,41.183768768,-8.603107205,142.0
1550287873.0,41.183768768,-8.603107205,146.0
1550288026.0,41.183768768,-8.603107205,146.0
1550288216.0,41.183768768,-8.603107205,139.0
1550288444.0,41.183768768,-8.603107205,138.0
1550288791.0,41.183768768,-8.603107205,138.0
1550289164.0,41.183768768,-8.603107205,130.0
1550289357.0,41.183768768,-8.603107205,131.0
1550289712.0,41.183768768,-8.603107205,135.0
1550289928.0,41.183768768,-8.603107205,130.0
1550290273.0,41.183768768,-8.603107205,115.0
1550290655.0,41.183768768,-8.603107205,126.0
1550290856.0,41.183768768,-8.603107205,129.0
1550291186.0,41.183768768,-8.603107205,132.0
1550291556.0,41.183768768,-8.603107205,129.0
1550291736.0,41.183768768,-8.603107205,122.0
1550292120.0,41.183768768,-8.603107205,120.0
1550292486.0,41.183768768,-8.603107205,101.0
1550292667.0,41.183768768,-8.603107205,82.0
1550293036.0,41.183768768,-8.603107205,98.0
1550293233.0,41.183768768,-8.603107205,125.0
1550293589.0,41.183768768,-8.603107205,113.0
1550293960.0,41.183768768,-8.603107205,73.0
1550294328.0,41.183768768,-8.603107205,98.0
1550294509.0,41.183768768,-8.603107205,115.0
1550294890.0,41.183768768,-8.603107205,130.0
1550295066.0,41.183768768,-8.603107205,134.0
1550295437.0,41.183768768,-8.603107205,129.0
1550295797.0,41.183768768,-8.603107205,105.0
1550295974.0,41.183768768,-8.603107205,56.0
1550296373.0,41.183768768,-8.603107205,108.0
1550296550.0,41.183768768,-8.603107205,131.0
1550296902.0,41.183768768,-8.603107205,122.0
1550297264.0,41.183768768,-8.603107205,127.0
1550297462.0,41.183768768,-8.603107205,131.0
1550297842.0,41.183768768,-8.603107205,138.0
1550298204.0,41.183768768,-8.603107205,143.0
1550298382.0,41.183768768,-8.603107205,140.0
1550298757.0,41.183768768,-8.603107205,137.0
1550298965.0,41.183768768,-8.603107205,137.0
1550299332.0,41.183768768,-8.603107205,128.0
1550299690.0,41.183768768,-8.603107205,131.0
1550299857.0,41.183768768,-8.603107205,132.0
1550300228.0,41.183768768,-8.603107205,133.0
1550300597.0,41.183768768,-8.603107205,139.0
1550300778.0,41.183768768,-8.603107205,137.0
1550301152.0,41.183768768,-8.603107205,140.0
1550301374.0,41.183768768,-8.603107205,124.0
1550301689.0,41.183768768,-8.603107205,127.0
1550302067.0,41.183768768,-8.603107205,138.0
1550302265.0,41.183768768,-8.603107205,131.0
1550302635.0,41.183768768,-8.603107205,132.0
1550302841.0,41.183768768,-8.603107205,124.0
1550303184.0,41.183768768,-8.603107205,126.0
1550303562.0,41.183768768,-8.603107205,125.0
1550303928.0,41.183768768,-8.603107205,120.0
1550304123.0,41.183768768,-8.603107205,133.0
1550304493.0,41.183768768,-8.603107205,140.0
1550304674.0,41.183768768,-8.603107205,133.0
1550305031.0,41.183768768,-8.603107205,134.0
1550305401.0,41.183768768,-8.603107205,137.0
1550305598.0,41.183768768,-8.603107205,135.0
1550305975.0,41.183768768,-8.603107205,135.0
1550306140.0,41.183768768,-8.603107205,133.0
1550306321.0,41.183768768,-8.603107205,133.0
1550306517.0,41.183768768,-8.603107205,133.0
1550306892.0,41.183768768,-8.603107205,119.0
1550307070.0,41.183768768,-8.603107205,128.0
1550307433.0,41.183768768,-8.603107205,109.0
1550307616.0,41.183768768,-8.603107205,108.0
1550307992.0,41.183768768,-8.603107205,122.0
1550308366.0,41.183768768,-8.603107205,129.0
1550308551.0,41.183768768,-8.603107205,137.0
1550308919.0,41.183768768,-8.603107205,136.0
1550309295.0,41.183768768,-8.603107205,128.0
1550163718.0,41.180222,-8.605194,-74.0
1550164085.0,41.180222,-8.605194,-48.0
1550164273.0,41.180222,-8.605194,170.0
1550164641.0,41.180222,-8.605194,-39.0
1550164847.0,41.180222,-8.605194,160.0
1550165178.0,41.180222,-8.605194,161.0
1550165551.0,41.180222,-8.605194,149.0
1550165756.0,41.180222,-8.605194,151.0
1550166114.0,41.180222,-8.605194,148.0
1550166491.0,41.180222,-8.605194,140.0
1550166689.0,41.180222,-8.605194,140.0
1550167070.0,41.180222,-8.605194,140.0
1550167223.0,41.180222,-8.605194,81.0
1550167616.0,41.180222,-8.605194,67.0
1550167981.0,41.180222,-8.605194,85.0
1550168155.0,41.180222,-8.605194,89.0
1550168530.0,41.180222,-8.605194,89.0
1550168905.0,41.180222,-8.605194,51.0
1550169084.0,41.180222,-8.605194,44.0
1550169454.0,41.180222,-8.605194,41.0
1550169812.0,41.180222,-8.605194,36.0
1550170007.0,41.180222,-8.605194,36.0
1550170369.0,41.180222,-8.605194,37.0
1550170563.0,41.180222,-8.605194,54.0
1550170931.0,41.180222,-8.605194,72.0
1550171303.0,41.180222,-8.605194,71.0
1550171485.0,41.180222,-8.605194,57.0
1550171851.0,41.180222,-8.605194,54.0
1550172032.0,41.180222,-8.605194,54.0
1550172401.0,41.180222,-8.605194,50.0
1550172772.0,41.180222,-8.605194,34.0
1550172943.0,41.180222,-8.605194,138.0
1550173309.0,41.180222,-8.605194,101.0
1550173684.0,41.180222,-8.605194,98.0
1550173865.0,41.180222,-8.605194,116.0
1550174231.0,41.180222,-8.605194,103.0
1550174598.0,41.180222,-8.605194,103.0
1550174806.0,41.180222,-8.605194,108.0
1550175175.0,41.180222,-8.605194,108.0
1550175353.0,41.180222,-8.605194,109.0
1550175737.0,41.180222,-8.605194,112.0
1550175920.0,41.180222,-8.605194,124.0
1550176284.0,41.180222,-8.605194,118.0
1550176655.0,41.180222,-8.605194,117.0
1550176839.0,41.180222,-8.605194,115.0
1550177204.0,41.180222,-8.605194,120.0
1550177573.0,41.180222,-8.605194,123.0
1550177745.0,41.180222,-8.605194,100.0
1550178132.0,41.180222,-8.605194,106.0
1550178508.0,41.180222,-8.605194,104.0
1550178678.0,41.180222,-8.605194,110.0
1550179060.0,41.180222,-8.605194,104.0
1550179425.0,41.180222,-8.605194,105.0
1550179615.0,41.180222,-8.605194,100.0
1550179992.0,41.180222,-8.605194,101.0
1550180178.0,41.180222,-8.605194,98.0
1550180549.0,41.180222,-8.605194,102.0
1550180719.0,41.180222,-8.605194,101.0
1550181102.0,41.180222,-8.605194,95.0
1550181481.0,41.180222,-8.605194,98.0
1550181644.0,41.180222,-8.605194,111.0
1550182037.0,41.180222,-8.605194,106.0
1550182404.0,41.180222,-8.605194,102.0
1550182581.0,41.180222,-8.605194,95.0
1550182952.0,41.180222,-8.605194,96.0
1550183315.0,41.180222,-8.605194,96.0
1550183497.0,41.180222,-8.605194,96.0
1550183860.0,41.180222,-8.605194,99.0
1550184229.0,41.180222,-8.605194,94.0
1550184407.0,41.180222,-8.605194,94.0
1550184783.0,41.180222,-8.605194,94.0
1550184962.0,41.180222,-8.605194,104.0
1550185354.0,41.180222,-8.605194,101.0
1550185509.0,41.180222,-8.605194,98.0
1550185903.0,41.180222,-8.605194,95.0
1550186254.0,41.180222,-8.605194,94.0
1550186420.0,41.180222,-8.605194,93.0
1550186477.0,41.180222,-8.605194,93.0
1550186810.0,41.180222,-8.605194,100.0
1550187173.0,41.180222,-8.605194,100.0
1550187349.0,41.180222,-8.605194,99.0
1550187728.0,41.180222,-8.605194,104.0
1550187957.0,41.180222,-8.605194,95.0
1550188271.0,41.180222,-8.605194,94.0
1550188644.0,41.180222,-8.605194,97.0
1550188809.0,41.180222,-8.605194,99.0
1550189200.0,41.180222,-8.605194,96.0
1550189578.0,41.180222,-8.605194,97.0
1550189743.0,41.180222,-8.605194,100.0
1550190123.0,41.180222,-8.605194,96.0
1550190331.0,41.180222,-8.605194,95.0
1550190667.0,41.180222,-8.605194,100.0
1550191056.0,41.180222,-8.605194,97.0
1550191397.0,41.180222,-8.605194,96.0
1550191578.0,41.180222,-8.605194,113.0
1550191955.0,41.180222,-8.605194,107.0
1550192311.0,41.180222,-8.605194,101.0
1550192498.0,41.180222,-8.605194,108.0
1550192876.0,41.180222,-8.605194,102.0
1550193076.0,41.180222,-8.605194,97.0
1550193441.0,41.180222,-8.605194,98.0
1550193651.0,41.180222,-8.605194,94.0
1550193989.0,41.180222,-8.605194,96.0
1550194375.0,41.180222,-8.605194,99.0
1550194531.0,41.180222,-8.605194,99.0
1550194916.0,41.180222,-8.605194,95.0
1550195278.0,41.180222,-8.605194,95.0
1550195449.0,41.180222,-8.605194,93.0
1550195823.0,41.180222,-8.605194,100.0
